DWTP,split,sample_id,pH,COD_mg_L,NH4_N_mg_L,NO2_N_mg_L,NO3_N_mg_L,Br_mg_L,TOC_mg_L,UV254_A_cm,temp_C,T_THMs_ug_L,DBCM_ug_L,BDCM_ug_L
B,train,1,7.9,3.64,0.08,0.011,2.32,0.135,3.631,0.099,9,13.0,4.5,2.9
B,train,2,7.9,3.08,0.22,0.03,2.2,0.196,3.348,0.116,11,15.0,4.8,3.4
B,train,3,8.0,2.9,0.05,0.006,1.67,0.088,3.66,0.072,13,17.0,5.7,3.6
B,train,4,8.0,3.6,0.08,0.017,1.76,0.077,3.867,0.072,7,17.0,6.1,3.3
B,train,5,8.0,4.08,0.07,0.004,0.5,0.17,4.894,0.081,28,42.0,15.7,7.8
B,train,6,8.2,3.92,0.09,0.006,0.47,0.167,5.014,0.081,25,52.0,19.4,9.7
B,train,7,8.0,4.15,0.11,0.003,0.31,0.159,4.736,0.083,26,40.0,14.0,7.4
B,train,8,7.3,3.76,0.06,0.005,0.3,0.117,2.897,0.064,37,47.0,15.8,9.7
B,train,9,7.8,2.92,0.13,0.003,0.16,0.123,4.139,0.09,24,36.0,10.5,8.4
B,train,10,8.0,4.5,0.16,0.004,0.14,0.117,4.723,0.102,27,40.0,13.1,8.9
B,train,11,7.6,5.98,0.24,0.01,0.28,0.112,6.416,0.266,15,28.0,9.3,6.1
B,train,12,7.8,4.24,0.07,0.004,0.73,0.1,4.818,0.094,8,30.0,9.3,6.6
B,train,13,7.6,4.52,0.13,0.008,0.76,0.095,4.98,0.135,4,16.0,3.2,2.7
B,train,14,7.5,5.29,0.2,0.011,0.96,0.112,6.368,0.235,8,22.0,8.1,4.5
B,train,15,7.8,4.03,0.11,0.008,0.71,0.113,3.936,0.083,27,61.0,17.6,13.7
B,train,16,7.7,3.38,0.05,0.007,0.29,0.125,4.014,0.087,28,53.0,16.4,11.8
B,train,17,7.6,2.6,0.05,0.007,0.65,0.102,3.085,0.076,31,43.0,14.2,9.6
B,train,18,7.5,5.94,0.22,0.018,0.8,0.11,3.637,0.276,17,49.0,11.0,11.5
B,train,19,7.8,5.96,0.17,0.008,0.28,0.098,4.376,0.245,13,27.0,8.4,5.8
B,train,20,7.6,6.2,0.19,0.009,0.49,0.106,4.559,0.237,8,24.0,4.4,5.6
B,train,21,7.6,6.2,0.13,0.013,1.37,0.052,3.756,0.147,15,26.0,8.8,5.8
B,train,22,7.8,3.04,0.1,0.012,1.4,0.05,2.875,0.102,23,25.0,7.5,6.4
B,train,23,7.6,2.93,0.05,0.004,0.85,0.086,3.891,0.059,25,33.0,12.5,7.3
B,train,24,7.5,6.2,0.1,0.025,0.57,0.102,5.023,0.091,32,43.0,16.0,7.3
B,train,25,7.8,4.16,0.21,0.009,0.91,0.083,4.506,0.114,7,37.0,13.5,8.3
B,train,26,8.1,3.21,0.12,0.016,1.39,0.104,4.199,0.096,26,43.0,13.9,9.4
B,train,27,7.5,3.37,0.15,0.019,0.81,0.156,5.178,0.086,37,47.0,17.7,8.4
B,train,28,7.6,4.28,0.15,0.011,0.1,0.172,5.212,0.087,30,46.0,17.3,6.8
B,train,29,7.6,3.28,0.15,0.034,0.67,0.165,5.715,0.092,34,61.0,23.4,10.7
