tsrunid,temp_in_avg,temp_in_sd,temp_in_25,temp_in_50,temp_in_75,ph_in_avg,ph_in_sd,ph_in_25,ph_in_50,ph_in_75,turb_in_avg,turb_in_sd,turb_in_25,turb_in_50,turb_in_75,alk_in_avg,alk_in_sd,alk_in_25,alk_in_50,alk_in_75,tds_in_avg,tds_in_sd,tds_in_25,tds_in_50,tds_in_75,th_in_avg,th_in_sd,th_in_25,th_in_50,th_in_75,cah_in_avg,cah_in_sd,cah_in_25,cah_in_50,cah_in_75,nh3_in_avg,nh3_in_sd,nh3_in_25,nh3_in_50,nh3_in_75,br_in_avg,br_in_sd,br_in_25,br_in_50,br_in_75,toc_in_avg,toc_in_sd,toc_in_25,toc_in_50,toc_in_75,br_toc_in_avg,br_toc_in_sd,br_toc_in_25,br_toc_in_50,br_toc_in_75,uv_in_avg,uv_in_sd,uv_in_25,uv_in_50,uv_in_75,tsuva_in_avg,tsuva_in_sd,tsuva_in_25,tsuva_in_50,tsuva_in_75,cl2d_in_avg,cl2d_in_sd,cl2d_in_25,cl2d_in_50,cl2d_in_75,tox_in_avg,tox_in_sd,tox_in_25,tox_in_50,tox_in_75,thm4_in_avg,thm4_in_sd,thm4_in_25,thm4_in_50,thm4_in_75,haa5_in_avg,haa5_in_sd,haa5_in_25,haa5_in_50,haa5_in_75,haa6_in_avg,haa6_in_sd,haa6_in_25,haa6_in_50,haa6_in_75,haa9_in_avg,haa9_in_sd,haa9_in_25,haa9_in_50,haa9_in_75,chcl3_in_avg,chcl3_in_sd,chcl3_in_25,chcl3_in_50,chcl3_in_75,bdcm_in_avg,bdcm_in_sd,bdcm_in_25,bdcm_in_50,bdcm_in_75,dbcm_in_avg,dbcm_in_sd,dbcm_in_25,dbcm_in_50,dbcm_in_75,chbr3_in_avg,chbr3_in_sd,chbr3_in_25,chbr3_in_50,chbr3_in_75,mcaa_in_avg,mcaa_in_sd,mcaa_in_25,mcaa_in_50,mcaa_in_75,dcaa_in_avg,dcaa_in_sd,dcaa_in_25,dcaa_in_50,dcaa_in_75,tcaa_in_avg,tcaa_in_sd,tcaa_in_25,tcaa_in_50,tcaa_in_75,mbaa_in_avg,mbaa_in_sd,mbaa_in_25,mbaa_in_50,mbaa_in_75,dbaa_in_avg,dbaa_in_sd,dbaa_in_25,dbaa_in_50,dbaa_in_75,bcaa_in_avg,bcaa_in_sd,bcaa_in_25,bcaa_in_50,bcaa_in_75,tbaa_in_avg,tbaa_in_sd,tbaa_in_25,tbaa_in_50,tbaa_in_75,cdbaa_in_avg,cdbaa_in_sd,cdbaa_in_25,cdbaa_in_50,cdbaa_in_75,dcbaa_in_avg,dcbaa_in_sd,dcbaa_in_25,dcbaa_in_50,dcbaa_in_75,time_sds_avg,time_sds_sd,time_sds_25,time_sds_50,time_sds_75,temp_sds_avg,temp_sds_sd,temp_sds_25,temp_sds_50,temp_sds_75,ph_sds_avg,ph_sds_sd,ph_sds_25,ph_sds_50,ph_sds_75,rescl2_sds_avg,rescl2_sds_sd,rescl2_sds_25,rescl2_sds_50,rescl2_sds_75,prcsname,chemdose,chemunits,tsid,scale,tech,prtcl,toc_feed_avg,br_feed_avg,lime_softening,extracted_date
1004-3-NF45,22.6,0.0,22.6,22.6,22.6,6.23,0.0,6.23,6.23,6.23,0.15,0.0,0.15,0.15,0.15,6.6000000000000005,0.0,6.6000000000000005,6.6000000000000005,6.6000000000000005,83.15,0.0,83.15,83.15,83.15,44.0,0.0,44.0,44.0,44.0,31.0,0.0,31.0,31.0,31.0,,,,,,48.0,0.0,48.0,48.0,48.0,3.5,0.0,3.5,3.5,3.5,13.71,0.0,13.71,13.71,13.71,0.056,0.0,0.056,0.056,0.056,1.59,0.0,1.59,1.59,1.59,2.9,0.0,2.9,2.9,2.9,397.5,0.0,397.5,397.5,397.5,122.1,0.0,122.1,122.1,122.1,78.7,0.0,78.7,78.7,78.7,86.60000000000001,0.0,86.60000000000001,86.60000000000001,86.60000000000001,101.25,0.0,101.25,101.25,101.25,96.0,0.0,96.0,96.0,96.0,22.0,0.0,22.0,22.0,22.0,4.1,0.0,4.1,4.1,4.1,0.0,0.0,0.0,0.0,0.0,4.1,0.0,4.1,4.1,4.1,34.0,0.0,34.0,34.0,34.0,39.5,0.0,39.5,39.5,39.5,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,1.1,7.9,0.0,7.9,7.9,7.9,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1.15,1.15,1.15,13.5,0.0,13.5,13.5,13.5,72.0,0.0,72.0,72.0,72.0,28.0,0.0,28.0,28.0,28.0,7.32,0.02,7.3,7.32,7.33,1.49,0.51,1.03,1.42,1.95,Pre-oxidation,1.7,mg/L,1004.0,Bench-Scale,Membrane,RBSMT,3.1750000000000003,42.5,False,
1004-3-NTR7450,20.25,0.0,20.25,20.25,20.25,6.66,0.0,6.66,6.66,6.66,0.39,0.0,0.39,0.39,0.39,7.2,0.0,7.2,7.2,7.2,84.45,0.0,84.45,84.45,84.45,44.0,0.0,44.0,44.0,44.0,31.0,0.0,31.0,31.0,31.0,,,,,,48.0,0.0,48.0,48.0,48.0,3.08,0.0,3.08,3.08,3.08,15.61,0.0,15.61,15.61,15.61,0.047,0.0,0.047,0.047,0.047,1.53,0.0,1.53,1.53,1.53,2.9,0.0,2.9,2.9,2.9,397.5,0.0,397.5,397.5,397.5,122.1,0.0,122.1,122.1,122.1,78.7,0.0,78.7,78.7,78.7,86.60000000000001,0.0,86.60000000000001,86.60000000000001,86.60000000000001,101.25,0.0,101.25,101.25,101.25,96.0,0.0,96.0,96.0,96.0,22.0,0.0,22.0,22.0,22.0,4.1,0.0,4.1,4.1,4.1,0.0,0.0,0.0,0.0,0.0,4.1,0.0,4.1,4.1,4.1,34.0,0.0,34.0,34.0,34.0,39.5,0.0,39.5,39.5,39.5,0.0,0.0,0.0,0.0,0.0,1.1,0.0,1.1,1.1,1.1,7.9,0.0,7.9,7.9,7.9,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1.15,1.15,1.15,13.5,0.0,13.5,13.5,13.5,72.0,0.0,72.0,72.0,72.0,28.0,0.0,28.0,28.0,28.0,7.36,0.04,7.33,7.33,7.4,1.27,0.37,1.03,1.03,1.47,Pre-oxidation,1.7,mg/L,1004.0,Bench-Scale,Membrane,RBSMT,3.1750000000000003,42.5,False,
1004-4-NF45,22.15,0.0,22.15,22.15,22.15,6.5600000000000005,0.0,6.5600000000000005,6.5600000000000005,6.5600000000000005,0.16,0.0,0.16,0.16,0.16,14.5,0.0,14.5,14.5,14.5,88.02,0.0,88.02,88.02,88.02,41.0,0.0,41.0,41.0,41.0,31.0,0.0,31.0,31.0,31.0,,,,,,42.0,0.0,42.0,42.0,42.0,3.1,0.0,3.1,3.1,3.1,13.55,0.0,13.55,13.55,13.55,0.054,0.0,0.054,0.054,0.054,1.74,0.0,1.74,1.74,1.74,2.6,0.0,2.6,2.6,2.6,232.5,0.0,232.5,232.5,232.5,66.8,0.0,66.8,66.8,66.8,55.3,0.0,55.3,55.3,55.3,61.2,0.0,61.2,61.2,61.2,,,,,,48.0,0.0,48.0,48.0,48.0,16.0,0.0,16.0,16.0,16.0,2.8000000000000003,0.0,2.8000000000000003,2.8000000000000003,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,2.65,0.0,2.65,2.65,2.65,21.0,0.0,21.0,21.0,21.0,30.5,0.0,30.5,30.5,30.5,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1.15,1.15,1.15,5.9,0.0,5.9,5.9,5.9,,,,,,2.1,0.0,2.1,2.1,2.1,11.0,0.0,11.0,11.0,11.0,72.0,0.0,72.0,72.0,72.0,15.5,0.0,15.5,15.5,15.5,7.34,0.04,7.3,7.34,7.38,1.21,0.21,1.06,1.24,1.41,Pre-oxidation,1.2,mg/L,1004.0,Bench-Scale,Membrane,RBSMT,3.1750000000000003,42.5,False,
1004-4-NTR7450,19.0,0.0,19.0,19.0,19.0,7.08,0.0,7.08,7.08,7.08,0.1,0.0,0.1,0.1,0.1,15.0,0.0,15.0,15.0,15.0,88.60000000000001,0.0,88.60000000000001,88.60000000000001,88.60000000000001,41.0,0.0,41.0,41.0,41.0,28.5,0.0,28.5,28.5,28.5,,,,,,42.0,0.0,42.0,42.0,42.0,2.95,0.0,2.95,2.95,2.95,14.24,0.0,14.24,14.24,14.24,0.053,0.0,0.053,0.053,0.053,1.8,0.0,1.8,1.8,1.8,2.6,0.0,2.6,2.6,2.6,232.5,0.0,232.5,232.5,232.5,66.8,0.0,66.8,66.8,66.8,55.3,0.0,55.3,55.3,55.3,61.2,0.0,61.2,61.2,61.2,,,,,,48.0,0.0,48.0,48.0,48.0,16.0,0.0,16.0,16.0,16.0,2.8000000000000003,0.0,2.8000000000000003,2.8000000000000003,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,2.65,0.0,2.65,2.65,2.65,21.0,0.0,21.0,21.0,21.0,30.5,0.0,30.5,30.5,30.5,0.0,0.0,0.0,0.0,0.0,1.15,0.0,1.15,1.15,1.15,5.9,0.0,5.9,5.9,5.9,,,,,,2.1,0.0,2.1,2.1,2.1,11.0,0.0,11.0,11.0,11.0,72.0,0.0,72.0,72.0,72.0,15.5,0.0,15.5,15.5,15.5,7.35,0.05,7.3,7.38,7.38,1.26,0.18,1.1,1.33,1.41,Pre-oxidation,1.2,mg/L,1004.0,Bench-Scale,Membrane,RBSMT,3.1750000000000003,42.5,False,
1005-1-NF70,24.09,1.04,24.1,24.5,24.6,6.03,0.09,5.97,6.01,6.07,0.28,0.27,0.13,0.2,0.28,69.85000000000001,7.77,65.75,68.0,74.5,607.67,7.18,601.0,609.5,614.25,249.97,5.76,245.4,247.0,255.5,249.01,6.28,244.5,247.0,254.8,0.62,0.05,0.59,0.62,0.65,,,,,,14.83,1.44,14.0,14.0,15.25,,,,,,0.428,0.028,0.415,0.427,0.45,3.01,0.41,2.87,3.21,3.24,20.61,5.34,15.43,21.95,24.38,1606.67,11.55,1600.0,1600.0,1610.0,526.78,152.72,374.24,580.7,636.1800000000001,291.38,63.85,249.1,307.6,339.43,311.75,64.62,269.9,324.2,361.3,,,,,,441.11,142.86,293.78000000000003,495.5,537.9300000000001,68.06,6.32,66.68,68.35000000000001,72.75,17.16,11.71,7.13,13.53,30.15,0.45,0.85,0.0,0.0,0.38,9.78,6.87,6.75,11.15,13.08,166.21,33.5,157.0,168.0,188.0,108.14,34.72,81.68,107.75,128.75,7.44,15.39,0.75,1.0,3.65,2.43,1.46,1.55,1.7,2.81,18.13,7.3,17.35,18.6,20.98,,,,,,,,,,,,,,,,96.0,0.0,96.0,96.0,96.0,23.0,1.11,22.47,22.95,23.82,8.71,0.05,8.700000000000001,8.700000000000001,8.700000000000001,2.17,1.64,1.2,1.3,3.4,Scale Control,204.0,mg/L,1005.0,Full-Scale,Membrane,2-Stage Array,14.86,,False,
1005-2-NF70,24.92,0.14,24.9,24.9,25.0,6.2700000000000005,0.15,6.17,6.2700000000000005,6.3500000000000005,0.33,0.3,0.15,0.23,0.39,89.16,7.12,86.78,89.95,94.28,604.0,8.02,597.0,600.0,614.0,255.71,12.89,246.0,251.8,259.3,248.29,7.52,243.0,246.6,254.0,0.59,0.08,0.55,0.59,0.61,,,,,,14.86,4.04,12.0,13.0,18.0,,,,,,0.436,0.03,0.428,0.431,0.453,3.13,0.79,2.42,3.33,3.7,24.51,6.92,18.73,22.5,31.3,1898.89,268.86,1700.0,1960.0,2000.0,827.49,125.56,785.88,824.12,882.25,430.46,85.08,374.35,411.15,474.55,453.97,89.16,392.9,437.3,499.63,,,,,,685.23,106.25,649.0500000000001,679.26,713.0,91.99,27.7,81.0,83.0,93.75,46.8,33.21,32.11,35.7,44.22,7.94,12.5,0.0,0.0,14.6,15.47,6.37,12.38,14.8,16.05,219.23,32.78,194.0,214.0,233.25,191.64,54.3,163.0,194.0,220.25,1.59,1.32,1.03,1.3,2.15,2.54,1.13,1.6,2.2,3.48,23.51,4.97,19.4,22.0,27.73,,,,,,,,,,,,,,,,94.0,6.7700000000000005,96.0,96.0,96.0,25.85,1.11,25.0,25.7,26.4,8.74,0.04,8.700000000000001,8.72,8.77,1.53,1.35,0.5700000000000001,1.15,1.85,Scale Control,204.0,mg/L,1005.0,Full-Scale,Membrane,2-Stage Array,14.86,,False,
1006-1-PVD1,24.61,0.74,24.23,24.95,25.13,6.140000000000001,0.13,6.07,6.16,6.21,0.35,0.3,0.2,0.21,0.27,99.7,17.490000000000002,86.0,96.0,112.0,547.78,28.25,527.0,548.0,570.0,305.04,12.51,300.0,302.0,310.0,241.65,13.01,231.0,242.0,247.0,0.26,0.07,0.23,0.24,0.29,154.13,12.67,150.0,160.0,160.0,8.0,0.6,8.0,8.0,8.0,19.33,1.83,17.64,18.75,20.0,0.235,0.014,0.225,0.229,0.243,2.95,0.27,2.79,2.91,3.0700000000000003,25.6,1.57,24.83,25.83,26.75,814.8100000000001,81.95,777.5,815.0,860.0,294.7,54.14,256.0,301.0,324.0,131.06,22.71,121.95,131.9,140.75,143.57,24.07,134.45,143.9,153.75,165.04,27.62,153.15,163.8,177.20000000000002,223.0,44.55,190.0,230.0,247.5,56.53,11.15,47.0,59.0,62.5,15.17,3.0,13.0,15.0,17.25,0.0,0.0,0.0,0.0,0.0,4.37,2.67,3.18,5.0,6.0,55.07,10.45,52.0,56.0,58.25,69.27,12.31,65.75,70.0,76.5,0.07,0.28,0.0,0.0,0.0,2.31,0.26,2.2,2.3000000000000003,2.5,12.51,1.69,12.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,3.23,1.68,2.48,3.1,3.75,18.23,3.93,17.0,18.0,20.0,44.7,1.91,44.0,44.75,46.0,22.68,1.13,21.67,22.6,23.6,8.290000000000001,0.1,8.23,8.290000000000001,8.35,2.57,1.68,1.08,2.93,3.56,pH adjustment,,,1006.0,Full-Scale,Membrane,3-Stage Array,8.0,154.1300048828125,False,
1007-1-DS5-DL,9.4,,9.4,9.4,9.4,7.52,,7.52,7.52,7.52,0.05,0.03,0.04,0.06,0.07,36.0,2.0,35.0,36.0,37.0,163.37,1.51,162.55,163.07,164.04,69.0,5.29,66.0,67.0,71.0,46.9,4.55,44.85,47.7,49.35,,,,,,40.63,1.17,40.2,41.1,41.3,4.17,0.47,3.9,4.0,4.3500000000000005,9.82,0.85,9.55,10.28,10.31,0.091,0.003,0.09,0.092,0.093,2.2,0.21,2.1,2.19,2.3000000000000003,1.65,0.12,1.6,1.69,1.72,285.67,12.9,278.5,282.0,291.0,49.370000000000005,4.07,47.15,48.5,51.15,36.5,1.06,35.9,36.1,36.9,39.27,0.91,38.75,38.9,39.6,,,,,,38.73,4.8500000000000005,36.3,38.7,41.15,9.13,1.04,8.55,8.8,9.55,1.5,0.1,1.45,1.5,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.53,0.91,14.2,14.9,15.05,21.97,1.97,20.85,21.2,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.15,2.7,2.8000000000000003,2.85,,,,,,,,,,,,,,,,6.1000000000000005,0.11,6.0200000000000005,6.11,6.16,9.0,0.0,9.0,9.0,9.0,7.15,0.1,7.1000000000000005,7.15,7.2,1.33,0.66,0.98,1.08,1.24,Filtration,3.0,mg/L,1007.0,Pilot-Scale,Membrane,2-Stage Pilot,4.41,40.59999847412109,False,
1007-2-DS5-DL,7.65,3.0500000000000003,5.55,6.95,7.98,7.53,0.32,7.4,7.5,7.7,0.03,0.0,0.03,0.03,0.04,35.64,0.85,35.0,36.0,36.0,193.24,15.68,181.4,201.44,205.53,68.39,7.73,64.95,73.10000000000001,73.95,43.24,4.84,41.2,45.9,46.7,,,,,,37.49,3.76,34.5,37.5,40.45,4.51,0.28,4.3,4.5,4.65,8.3,0.7000000000000001,7.92,8.0,8.44,0.129,0.012,0.12,0.132,0.138,2.85,0.14,2.81,2.88,2.94,2.09,0.23,1.91,2.06,2.24,413.5,26.67,392.25,409.0,437.5,70.54,6.42,69.48,72.3,74.15,63.71,4.74,61.25,63.85,67.45,66.81,4.51,64.48,66.7,70.25,,,,,,63.68,6.45,62.73,66.1,67.3,6.71,0.5700000000000001,6.25,6.8,7.1000000000000005,0.14,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.85,0.0,1.3,1.53,28.81,1.2,28.35,28.4,29.85,34.0,4.1,31.4,35.5,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.35,2.93,3.0,3.33,,,,,,,,,,,,,,,,6.25,0.41,6.0,6.19,6.57,9.85,0.86,9.0,10.0,10.75,7.05,0.21,7.0,7.1000000000000005,7.17,0.71,0.24,0.59,0.76,0.9,Filtration,3.0,mg/L,1007.0,Pilot-Scale,Membrane,2-Stage Pilot,4.41,40.59999847412109,False,
1008-1-10,20.44,3.78,18.1,21.0,23.2,7.48,0.74,7.0,7.23,7.7,0.16,0.17,0.08,0.1,0.15,33.62,4.68,30.0,32.0,35.5,,,,,,102.94,6.86,98.0,102.0,108.0,62.59,7.58,60.0,64.0,68.0,0.0,0.03,0.0,0.0,0.0,10.65,2.67,10.0,10.0,10.0,2.73,0.22,2.58,2.71,2.84,3.92,1.03,3.52,3.72,3.92,0.057,0.007,0.054,0.058,0.061,2.08,0.19,2.01,2.09,2.17,2.58,0.22,2.4,2.5,2.65,274.69,35.27,248.0,274.0,304.0,89.98,19.75,90.45,95.7,100.5,54.34,9.52,46.6,57.7,60.5,58.34,9.96,50.3,61.9,65.0,,,,,,76.63,18.31,78.0,82.3,86.5,12.29,1.37,11.9,12.45,12.8,1.05,0.69,1.0,1.1,1.5,0.0,0.0,0.0,0.0,0.0,3.93,1.37,3.2,4.3,5.1,31.84,6.49,26.4,33.35,36.0,18.56,3.47,16.7,18.9,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01,1.15,3.7,4.3,4.6,,,,,,,,,,,,,,,,47.85,0.44,47.5,48.0,48.0,23.24,3.33,23.0,24.5,25.5,8.19,0.44,8.01,8.27,8.5,0.77,0.39,0.5,0.7,0.89,Coagulation,42.0,mg/L,1008.0,Pilot-Scale,GAC,Pilot Columns,2.74,10.609999656677246,False,2026-01-10
