Train: 141,  Test: 34
Features: 9,  Targets: 3
Optuna trials: 200,  CV folds: 5

[I 2026-03-01 22:32:15,230] Trial 0 finished with value: 0.5281655192375183 and parameters: {'n_layers': 1, 'hidden_dim': 8, 'dropout': 0.0, 'activation': 'LeakyReLU', 'lr': 0.00010994335574766199, 'weight_decay': 0.008123245085588688, 'batch_size': 8}. Best is trial 0 with value: 0.5281655192375183.
[I 2026-03-01 22:32:17,638] Trial 1 finished with value: 0.48814722895622253 and parameters: {'n_layers': 0, 'lr': 0.0004059611610484307, 'weight_decay': 0.00037520558551242813, 'batch_size': 32}. Best is trial 1 with value: 0.48814722895622253.
[I 2026-03-01 22:32:21,541] Trial 2 finished with value: 0.4831160008907318 and parameters: {'n_layers': 0, 'lr': 0.0003839629299804173, 'weight_decay': 0.00012562773503807024, 'batch_size': 16}. Best is trial 2 with value: 0.4831160008907318.
[I 2026-03-01 22:32:23,585] Trial 3 finished with value: 0.49928976893424987 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.0, 'activation': 'LeakyReLU', 'lr': 0.0001567993391672301, 'weight_decay': 0.0011290133559092666, 'batch_size': 32}. Best is trial 2 with value: 0.4831160008907318.
[I 2026-03-01 22:32:24,626] Trial 4 finished with value: 0.4610432207584381 and parameters: {'n_layers': 0, 'lr': 0.006586289317583112, 'weight_decay': 5.9750279999602906e-05, 'batch_size': 8}. Best is trial 4 with value: 0.4610432207584381.
[I 2026-03-01 22:32:34,508] Trial 5 finished with value: 0.6088848948478699 and parameters: {'n_layers': 2, 'hidden_dim': 16, 'dropout': 0.5, 'activation': 'LeakyReLU', 'lr': 0.00012315571723666037, 'weight_decay': 9.46217535646148e-05, 'batch_size': 32}. Best is trial 4 with value: 0.4610432207584381.
[I 2026-03-01 22:32:35,419] Trial 6 finished with value: 0.487232905626297 and parameters: {'n_layers': 1, 'hidden_dim': 64, 'dropout': 0.0, 'activation': 'ReLU', 'lr': 0.004274869455295219, 'weight_decay': 0.001319994226153501, 'batch_size': 16}. Best is trial 4 with value: 0.4610432207584381.
[I 2026-03-01 22:32:36,001] Trial 7 finished with value: 0.507300055027008 and parameters: {'n_layers': 1, 'hidden_dim': 16, 'dropout': 0.0, 'activation': 'SiLU', 'lr': 0.0059487468132197715, 'weight_decay': 0.00026100256506134784, 'batch_size': 32}. Best is trial 4 with value: 0.4610432207584381.
[I 2026-03-01 22:32:37,111] Trial 8 finished with value: 0.5038102209568024 and parameters: {'n_layers': 2, 'hidden_dim': 8, 'dropout': 0.0, 'activation': 'SiLU', 'lr': 0.0010402587615883842, 'weight_decay': 0.005280796376895365, 'batch_size': 32}. Best is trial 4 with value: 0.4610432207584381.
[I 2026-03-01 22:32:43,596] Trial 9 finished with value: 0.49143635034561156 and parameters: {'n_layers': 0, 'lr': 0.00014254757044027455, 'weight_decay': 7.40038575908737e-05, 'batch_size': 16}. Best is trial 4 with value: 0.4610432207584381.
[I 2026-03-01 22:32:45,888] Trial 10 finished with value: 0.45904096961021423 and parameters: {'n_layers': 3, 'hidden_dim': 64, 'dropout': 0.30000000000000004, 'activation': 'Tanh', 'lr': 0.002399730081077603, 'weight_decay': 1.3066991237906973e-05, 'batch_size': 8}. Best is trial 10 with value: 0.45904096961021423.
[I 2026-03-01 22:32:48,210] Trial 11 finished with value: 0.45855486392974854 and parameters: {'n_layers': 3, 'hidden_dim': 64, 'dropout': 0.30000000000000004, 'activation': 'Tanh', 'lr': 0.0024792013326598596, 'weight_decay': 1.2594581093948296e-05, 'batch_size': 8}. Best is trial 11 with value: 0.45855486392974854.
[I 2026-03-01 22:32:50,464] Trial 12 finished with value: 0.45812581181526185 and parameters: {'n_layers': 3, 'hidden_dim': 64, 'dropout': 0.30000000000000004, 'activation': 'Tanh', 'lr': 0.0025537162437252793, 'weight_decay': 1.0268906322884046e-05, 'batch_size': 8}. Best is trial 12 with value: 0.45812581181526185.
[I 2026-03-01 22:32:53,073] Trial 13 finished with value: 0.46043562293052676 and parameters: {'n_layers': 3, 'hidden_dim': 64, 'dropout': 0.30000000000000004, 'activation': 'Tanh', 'lr': 0.0016123406099647285, 'weight_decay': 1.0216376326662009e-05, 'batch_size': 8}. Best is trial 12 with value: 0.45812581181526185.
[I 2026-03-01 22:32:55,624] Trial 14 finished with value: 0.45374587178230286 and parameters: {'n_layers': 3, 'hidden_dim': 64, 'dropout': 0.2, 'activation': 'Tanh', 'lr': 0.0027799351514297636, 'weight_decay': 2.835793642078295e-05, 'batch_size': 8}. Best is trial 14 with value: 0.45374587178230286.
[I 2026-03-01 22:32:59,078] Trial 15 finished with value: 0.4469000220298767 and parameters: {'n_layers': 3, 'hidden_dim': 64, 'dropout': 0.2, 'activation': 'Tanh', 'lr': 0.009818247569037463, 'weight_decay': 3.3948989892735294e-05, 'batch_size': 8}. Best is trial 15 with value: 0.4469000220298767.
[I 2026-03-01 22:33:00,770] Trial 16 finished with value: 0.4457269787788391 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'Tanh', 'lr': 0.00980068818378313, 'weight_decay': 3.146939321009493e-05, 'batch_size': 8}. Best is trial 16 with value: 0.4457269787788391.
[I 2026-03-01 22:33:02,545] Trial 17 finished with value: 0.45774654746055604 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'ReLU', 'lr': 0.009006020499939725, 'weight_decay': 3.464432951063626e-05, 'batch_size': 8}. Best is trial 16 with value: 0.4457269787788391.
[I 2026-03-01 22:33:04,712] Trial 18 finished with value: 0.4457791209220886 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.1, 'activation': 'Tanh', 'lr': 0.009614242897818186, 'weight_decay': 3.30158758877725e-05, 'batch_size': 8}. Best is trial 16 with value: 0.4457269787788391.
[I 2026-03-01 22:33:06,561] Trial 19 finished with value: 0.4481623947620392 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.1, 'activation': 'Tanh', 'lr': 0.004566626956923251, 'weight_decay': 0.00022356581726723347, 'batch_size': 8}. Best is trial 16 with value: 0.4457269787788391.
[I 2026-03-01 22:33:07,747] Trial 20 finished with value: 0.4832470536231995 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.1, 'activation': 'Tanh', 'lr': 0.0005675340745421171, 'weight_decay': 2.4214448786961924e-05, 'batch_size': 16}. Best is trial 16 with value: 0.4457269787788391.
[I 2026-03-01 22:33:09,420] Trial 21 finished with value: 0.4456376552581787 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'Tanh', 'lr': 0.00988708296334769, 'weight_decay': 4.9756159142435e-05, 'batch_size': 8}. Best is trial 21 with value: 0.4456376552581787.
[I 2026-03-01 22:33:11,203] Trial 22 finished with value: 0.4486605882644653 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.1, 'activation': 'Tanh', 'lr': 0.009938245269011041, 'weight_decay': 4.855419490492811e-05, 'batch_size': 8}. Best is trial 21 with value: 0.4456376552581787.
[I 2026-03-01 22:33:13,923] Trial 23 finished with value: 0.45591957569122316 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.4, 'activation': 'Tanh', 'lr': 0.00435885666375601, 'weight_decay': 0.0001368820609877496, 'batch_size': 8}. Best is trial 21 with value: 0.4456376552581787.
[I 2026-03-01 22:33:16,228] Trial 24 finished with value: 0.4646327555179596 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.1, 'activation': 'ReLU', 'lr': 0.006109386560969405, 'weight_decay': 2.3015652238710963e-05, 'batch_size': 8}. Best is trial 21 with value: 0.4456376552581787.
[I 2026-03-01 22:33:17,637] Trial 25 finished with value: 0.4439723312854767 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.007435641936722313, 'weight_decay': 0.0006114291219721592, 'batch_size': 8}. Best is trial 25 with value: 0.4439723312854767.
[I 2026-03-01 22:33:19,007] Trial 26 finished with value: 0.4473089396953583 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.006609733459657526, 'weight_decay': 0.000540473493444913, 'batch_size': 8}. Best is trial 25 with value: 0.4439723312854767.
[I 2026-03-01 22:33:20,582] Trial 27 finished with value: 0.45395503044128416 and parameters: {'n_layers': 1, 'hidden_dim': 32, 'dropout': 0.4, 'activation': 'SiLU', 'lr': 0.003669865408866851, 'weight_decay': 0.0007638703276604936, 'batch_size': 8}. Best is trial 25 with value: 0.4439723312854767.
[I 2026-03-01 22:33:23,713] Trial 28 finished with value: 0.47436792850494386 and parameters: {'n_layers': 1, 'hidden_dim': 8, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.0013558013656389926, 'weight_decay': 0.0014202132332079551, 'batch_size': 8}. Best is trial 25 with value: 0.4439723312854767.
[I 2026-03-01 22:33:24,991] Trial 29 finished with value: 0.46203450560569764 and parameters: {'n_layers': 1, 'hidden_dim': 16, 'dropout': 0.4, 'activation': 'SiLU', 'lr': 0.007217773171262705, 'weight_decay': 0.0025084113291494554, 'batch_size': 16}. Best is trial 25 with value: 0.4439723312854767.
[I 2026-03-01 22:33:26,922] Trial 30 finished with value: 0.4424395740032196 and parameters: {'n_layers': 2, 'hidden_dim': 32, 'dropout': 0.2, 'activation': 'SiLU', 'lr': 0.00524906207494854, 'weight_decay': 0.00019800952017728847, 'batch_size': 8}. Best is trial 30 with value: 0.4424395740032196.
