dataset,feature,source_column,n_total,n_non_missing,n_missing,missing_rate,mean,median,std,cv,min,q25,q75,iqr,max,p05,p95,skew,zero_fraction
dataset1,pH,ph_in_avg,514,513,1,0.0019455252918287938,7.658499025341131,7.77,0.9794477320726866,0.12789029923902867,4.64,6.8500000000000005,8.26,1.4099999999999993,10.22,6.16,9.341999999999999,0.019505611211982108,0.0
tailake,pH,pH,175,175,0,0.0,7.682857142857143,7.7,0.15917480141524576,0.020718177945457796,7.3,7.6,7.8,0.20000000000000018,8.2,7.4,8.0,0.35404832530751623,0.0
dataset1,UV254,uv_in_avg,514,509,5,0.009727626459143969,0.11294106090373279,0.065,0.12019998290109467,1.0642717709509488,0.0,0.051,0.098,0.04700000000000001,0.763,0.032400000000000005,0.3935999999999996,2.490488726789829,0.003929273084479371
tailake,UV254,UV254_A_cm,175,175,0,0.0,0.11237142857142857,0.097,0.04650947605477817,0.41389058274020746,0.059,0.0805,0.1305,0.05,0.314,0.06870000000000001,0.2146999999999995,1.8035258146736368,0.0
dataset1,Temperature,temp_in_avg,514,506,8,0.01556420233463035,21.101798418972333,21.5,3.4439362304323557,0.16320581601878828,4.7,19.395,23.07,3.6750000000000007,29.92,15.7625,25.7175,-1.1103538530497097,0.0
tailake,Temperature,temp_C,175,175,0,0.0,22.21142857142857,24.0,8.330520379096091,0.37505558691582613,4.0,15.0,29.0,14.0,37.0,8.700000000000001,35.0,-0.23251303861024114,0.0
dataset1,TOC,toc_in_avg,514,514,0,0.0,4.48204280155642,3.365,3.098130592430716,0.6912318176334391,1.51,2.73,4.7524999999999995,2.0224999999999995,25.29,1.96,11.8,2.316011523964565,0.0
tailake,TOC,TOC_mg_L,175,175,0,0.0,4.298874285714286,4.161,0.804248550655534,0.1870835240118921,2.875,3.6825,4.912,1.2294999999999998,6.416,2.9848000000000003,5.566799999999997,0.23924726070943414,0.0
dataset1,Bromide,br_in_avg,514,503,11,0.021400778210116732,147.8620675944334,85.0,219.60466269138328,1.4851994582797976,5.0,38.894999999999996,150.0,111.105,1810.0,10.0,477.5,4.300485954901834,0.0
tailake,Bromide,Br_mg_L,175,175,0,0.0,0.12328571428571428,0.12,0.031047952741817424,0.2518373918803267,0.05,0.102,0.1475,0.0455,0.197,0.0784,0.17259999999999995,0.08413175112840202,0.0
dataset1,Cl2 dose,cl2d_in_avg,514,509,5,0.009727626459143969,4.702514734774066,2.93,4.859758342137536,1.0334381955681473,0.44,2.07,5.04,2.97,49.8,1.248,12.243999999999996,3.4711248407862603,0.0
dataset1,Contact time,time_sds_avg,514,513,1,0.0019455252918287938,33.01001949317739,24.0,29.01760015826484,0.8790543175614388,1.98,18.0,47.94,29.939999999999998,236.69,4.304,94.25599999999999,2.5744188035163607,0.0
tailake,COD,COD_mg_L,175,175,0,0.0,4.0844000000000005,3.93,0.8686947270103763,0.21268600700479293,2.48,3.455,4.535,1.08,6.2,2.917,5.777999999999999,0.5647226033712477,0.0
tailake,NH4-N,NH4_N_mg_L,175,175,0,0.0,0.13405714285714287,0.13,0.05644748493075852,0.4210703266360929,0.05,0.1,0.16,0.06,0.43,0.06700000000000002,0.23299999999999985,1.708428980635522,0.0
tailake,NO2-N,NO2_N_mg_L,175,175,0,0.0,0.020497142857142856,0.014,0.019179992654498098,0.9357398144792772,0.003,0.008,0.0245,0.0165,0.105,0.005,0.06229999999999998,2.2439666613260023,0.0
tailake,NO3-N,NO3_N_mg_L,175,175,0,0.0,0.7479428571428572,0.74,0.4139441590732623,0.5534435620583764,0.1,0.475,0.985,0.51,2.32,0.15,1.4729999999999999,0.7508631106154341,0.0
