model,target,target_label,group,mean_abs,share_pct
rf,T_THMs_ug_L,T-THMs,Temperature,0.47478513586459836,53.308087817545434
rf,T_THMs_ug_L,T-THMs,Br-,0.09724805973419366,10.918850900746671
rf,T_THMs_ug_L,T-THMs,Nitrogen,0.19279274940116575,21.646450234689613
rf,T_THMs_ug_L,T-THMs,Other water quality,0.1258177739974643,14.126611047018283
rf,DBCM_ug_L,DBCM,Temperature,0.3827765079126415,38.45904510657291
rf,DBCM_ug_L,DBCM,Br-,0.26286295288040895,26.410863657238366
rf,DBCM_ug_L,DBCM,Nitrogen,0.15795884568862636,15.870739833144398
rf,DBCM_ug_L,DBCM,Other water quality,0.19168513555891203,19.259351403044327
rf,BDCM_ug_L,BDCM,Temperature,0.37076912653859884,45.40392949930575
rf,BDCM_ug_L,BDCM,Br-,0.0416016725850475,5.094489465017675
rf,BDCM_ug_L,BDCM,Nitrogen,0.26844825401872163,32.87384177174435
rf,BDCM_ug_L,BDCM,Other water quality,0.135782352566951,16.627739263932238
xgb,T_THMs_ug_L,T-THMs,Temperature,0.44841712713241577,47.46381378173828
xgb,T_THMs_ug_L,T-THMs,Br-,0.058944616466760635,6.239137649536133
xgb,T_THMs_ug_L,T-THMs,Nitrogen,0.21433347836136818,22.686655044555664
xgb,T_THMs_ug_L,T-THMs,Other water quality,0.22306062653660774,23.61039924621582
xgb,DBCM_ug_L,DBCM,Temperature,0.40629932284355164,38.24161911010742
xgb,DBCM_ug_L,DBCM,Br-,0.21469934284687042,20.2078857421875
xgb,DBCM_ug_L,DBCM,Nitrogen,0.16098477505147457,15.15217399597168
xgb,DBCM_ug_L,DBCM,Other water quality,0.28046978637576103,26.3983154296875
xgb,BDCM_ug_L,BDCM,Temperature,0.35952576994895935,36.60496139526367
xgb,BDCM_ug_L,BDCM,Br-,0.10402598977088928,10.591361045837402
xgb,BDCM_ug_L,BDCM,Nitrogen,0.27237565629184246,27.731809616088867
xgb,BDCM_ug_L,BDCM,Other water quality,0.24625033140182495,25.071870803833008
mlp,T_THMs_ug_L,T-THMs,Temperature,0.42227448655849026,40.70602365250808
mlp,T_THMs_ug_L,T-THMs,Br-,0.09461539650210345,9.120647092119746
mlp,T_THMs_ug_L,T-THMs,Nitrogen,0.29572911434843974,28.507420425779024
mlp,T_THMs_ug_L,T-THMs,Other water quality,0.22475692062041558,21.66590882959317
mlp,DBCM_ug_L,DBCM,Temperature,0.32419251183886016,31.990679953953542
mlp,DBCM_ug_L,DBCM,Br-,0.19373676589575245,19.117563320418824
mlp,DBCM_ug_L,DBCM,Nitrogen,0.2024981690589479,19.982121366351286
mlp,DBCM_ug_L,DBCM,Other water quality,0.2929693059653476,28.909635359276347
mlp,BDCM_ug_L,BDCM,Temperature,0.46173544644207376,37.88896026779398
mlp,BDCM_ug_L,BDCM,Br-,0.06716817056924636,5.511667266545573
mlp,BDCM_ug_L,BDCM,Nitrogen,0.34731784491596746,28.500112191338616
mlp,BDCM_ug_L,BDCM,Other water quality,0.34243284576178823,28.099260274321836
kan,T_THMs_ug_L,T-THMs,Temperature,0.40545481680752776,36.79454034953669
kan,T_THMs_ug_L,T-THMs,Br-,0.07875899258524235,7.147284507270299
kan,T_THMs_ug_L,T-THMs,Nitrogen,0.30450339872482385,27.633319735032856
kan,T_THMs_ug_L,T-THMs,Other water quality,0.3132256697002377,28.42485540816017
kan,DBCM_ug_L,DBCM,Temperature,0.29852185934973524,28.833453034749095
kan,DBCM_ug_L,DBCM,Br-,0.21985872476032498,21.23558465187578
kan,DBCM_ug_L,DBCM,Nitrogen,0.2550323843491693,24.632917309605972
kan,DBCM_ug_L,DBCM,Other water quality,0.2619186617481094,25.298045003769147
kan,BDCM_ug_L,BDCM,Temperature,0.3352304660802483,34.00779761470105
kan,BDCM_ug_L,BDCM,Br-,0.08214705660019565,8.33349220364147
kan,BDCM_ug_L,BDCM,Nitrogen,0.31007353275632943,31.455726774929694
kan,BDCM_ug_L,BDCM,Other water quality,0.25829483107524626,26.202983406727785
