target,target_label,group,share_pct
BDCM_ug_L,BDCM,Br-,7.38275249526053
BDCM_ug_L,BDCM,Nitrogen,30.14037258852538
BDCM_ug_L,BDCM,Other water quality,24.000463437203717
BDCM_ug_L,BDCM,Temperature,38.47641219426611
DBCM_ug_L,DBCM,Br-,21.74297434293012
DBCM_ug_L,DBCM,Nitrogen,18.909488126268336
DBCM_ug_L,DBCM,Other water quality,24.96633679894433
DBCM_ug_L,DBCM,Temperature,34.381199301345745
T_THMs_ug_L,T-THMs,Br-,8.356480037418212
T_THMs_ug_L,T-THMs,Nitrogen,25.11846136001429
T_THMs_ug_L,T-THMs,Other water quality,21.95694363274686
T_THMs_ug_L,T-THMs,Temperature,44.56811640033212
