condition,condition_label,seed,model,model_label,target,target_key,target_label,feature,feature_label,mean_abs_shap,rank,n_train,n_test
A',A' Tai Lake 5-common,-1,rf,Random Forest,T_THMs_ug_L,thm4,THM4,temp_C,Temperature,5.961760942920956,1,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,T_THMs_ug_L,thm4,THM4,Br_mg_L,Bromide,1.607784424885116,2,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,T_THMs_ug_L,thm4,THM4,TOC_mg_L,TOC,0.7199926807061244,3,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,T_THMs_ug_L,thm4,THM4,pH,pH,0.5931532993849726,4,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,T_THMs_ug_L,thm4,THM4,UV254_A_cm,UV254,0.37991255151428405,5,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,DBCM_ug_L,dbcm,DBCM,temp_C,Temperature,1.6430345350886497,1,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,DBCM_ug_L,dbcm,DBCM,Br_mg_L,Bromide,1.171865341475104,2,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,DBCM_ug_L,dbcm,DBCM,TOC_mg_L,TOC,0.45439281562395695,3,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,DBCM_ug_L,dbcm,DBCM,UV254_A_cm,UV254,0.2263384193552043,4,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,DBCM_ug_L,dbcm,DBCM,pH,pH,0.22403462674858007,5,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,BDCM_ug_L,bdcm,BDCM,temp_C,Temperature,1.0554923066228925,1,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,BDCM_ug_L,bdcm,BDCM,UV254_A_cm,UV254,0.16239916435744853,2,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,BDCM_ug_L,bdcm,BDCM,Br_mg_L,Bromide,0.14735667779714504,3,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,BDCM_ug_L,bdcm,BDCM,pH,pH,0.12246160050334687,4,141,34
A',A' Tai Lake 5-common,-1,rf,Random Forest,BDCM_ug_L,bdcm,BDCM,TOC_mg_L,TOC,0.09480004460308032,5,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,T_THMs_ug_L,thm4,THM4,temp_C,Temperature,5.577694416046143,1,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,T_THMs_ug_L,thm4,THM4,Br_mg_L,Bromide,1.3673057556152344,2,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,T_THMs_ug_L,thm4,THM4,UV254_A_cm,UV254,0.7022324204444885,3,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,T_THMs_ug_L,thm4,THM4,TOC_mg_L,TOC,0.5786840319633484,4,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,T_THMs_ug_L,thm4,THM4,pH,pH,0.5248562693595886,5,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,DBCM_ug_L,dbcm,DBCM,temp_C,Temperature,1.7915517091751099,1,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,DBCM_ug_L,dbcm,DBCM,Br_mg_L,Bromide,1.2202415466308594,2,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,DBCM_ug_L,dbcm,DBCM,TOC_mg_L,TOC,0.3953542709350586,3,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,DBCM_ug_L,dbcm,DBCM,pH,pH,0.2626054584980011,4,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,DBCM_ug_L,dbcm,DBCM,UV254_A_cm,UV254,0.1615583598613739,5,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,BDCM_ug_L,bdcm,BDCM,temp_C,Temperature,1.0258958339691162,1,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,BDCM_ug_L,bdcm,BDCM,UV254_A_cm,UV254,0.3397309482097626,2,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,BDCM_ug_L,bdcm,BDCM,TOC_mg_L,TOC,0.24296174943447113,3,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,BDCM_ug_L,bdcm,BDCM,Br_mg_L,Bromide,0.24248437583446503,4,141,34
A',A' Tai Lake 5-common,-1,xgb,XGBoost,BDCM_ug_L,bdcm,BDCM,pH,pH,0.1326698511838913,5,141,34
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,toc_in_avg,TOC,42.43975379924827,1,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,br_in_avg,Bromide,18.491298358791756,2,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,uv_in_avg,UV254,18.13624807926405,3,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,temp_in_avg,Temperature,6.0074458618658015,4,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,thm4_in_avg,thm4,THM4,ph_in_avg,pH,2.6787329877809025,5,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,br_in_avg,Bromide,7.8930561066363945,1,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,ph_in_avg,pH,2.483112227353991,2,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,uv_in_avg,UV254,1.92465989643703,3,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,temp_in_avg,Temperature,1.4403813715303155,4,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,dbcm_in_avg,dbcm,DBCM,toc_in_avg,TOC,1.1957475789830523,5,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,br_in_avg,Bromide,8.623355579482475,1,382,106
B,B Dataset1 5-common (N=488),-1,rf,Random Forest,bdcm_in_avg,bdcm,BDCM,uv_in_avg,UV254,3.819981887897621,2,382,106
