condition,condition_label,model,model_label,target_key,target_label,feature,feature_label,shap_mean,shap_std,rank_mean,rank_std,n_seeds
D,D Dataset1 5-common (N=175),rf,Random Forest,bdcm,BDCM,br_in_avg,Bromide,8.633014761411392,1.7087307477458522,1.2,0.4472135954999579,5
D,D Dataset1 5-common (N=175),rf,Random Forest,bdcm,BDCM,ph_in_avg,pH,0.7347690026100555,0.1206122159547909,4.8,0.4472135954999579,5
D,D Dataset1 5-common (N=175),rf,Random Forest,bdcm,BDCM,temp_in_avg,Temperature,0.7588913609312515,0.07230382196620336,4.2,0.4472135954999579,5
D,D Dataset1 5-common (N=175),rf,Random Forest,bdcm,BDCM,toc_in_avg,TOC,4.474922237304843,1.4396247209751067,2.4,0.8944271909999159,5
D,D Dataset1 5-common (N=175),rf,Random Forest,bdcm,BDCM,uv_in_avg,UV254,4.088066839015156,0.9485257601759837,2.4,0.5477225575051661,5
D,D Dataset1 5-common (N=175),rf,Random Forest,dbcm,DBCM,br_in_avg,Bromide,10.355745579007605,1.5039490511882558,1.0,0.0,5
D,D Dataset1 5-common (N=175),rf,Random Forest,dbcm,DBCM,ph_in_avg,pH,2.7485470259185076,0.29197839432132083,2.0,0.0,5
D,D Dataset1 5-common (N=175),rf,Random Forest,dbcm,DBCM,temp_in_avg,Temperature,1.4810548913026884,0.3252334559255184,4.2,0.8366600265340756,5
D,D Dataset1 5-common (N=175),rf,Random Forest,dbcm,DBCM,toc_in_avg,TOC,1.1163061704029147,0.27866556000334225,4.6,0.5477225575051662,5
D,D Dataset1 5-common (N=175),rf,Random Forest,dbcm,DBCM,uv_in_avg,UV254,2.25804793971703,0.32218893042853175,3.2,0.44721359549995787,5
D,D Dataset1 5-common (N=175),rf,Random Forest,thm4,THM4,br_in_avg,Bromide,18.42954193865363,3.731259588132845,2.8,0.4472135954999579,5
D,D Dataset1 5-common (N=175),rf,Random Forest,thm4,THM4,ph_in_avg,pH,4.478068590232085,0.6559545956161673,4.6,0.5477225575051662,5
D,D Dataset1 5-common (N=175),rf,Random Forest,thm4,THM4,temp_in_avg,Temperature,4.710450591392449,2.353082374768188,4.4,0.5477225575051662,5
