run,run_label,model,model_label,target,target_label,group,n_rows,n_tsids,feature_count,temp_mean,temp_std,tsid_temp_std_mean,tsid_temp_std_median
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,50,10,5,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,55,7,5,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,50,10,5,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,high,55,7,5,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,low,50,10,5,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
B,Dataset1 formal 5-feature,rf,Random Forest,bdcm_in_avg,BDCM,high,55,7,5,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,low,50,10,5,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
B,Dataset1 formal 5-feature,xgb,XGBoost,thm4_in_avg,THM4,high,55,7,5,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,low,50,10,5,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
B,Dataset1 formal 5-feature,xgb,XGBoost,dbcm_in_avg,DBCM,high,55,7,5,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,low,50,10,5,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
B,Dataset1 formal 5-feature,xgb,XGBoost,bdcm_in_avg,BDCM,high,55,7,5,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,low,50,10,6,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,thm4_in_avg,THM4,high,55,7,6,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,low,50,10,6,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,dbcm_in_avg,DBCM,high,55,7,6,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,low,50,10,6,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
C,Dataset1 formal 6-feature + Cl2,rf,Random Forest,bdcm_in_avg,BDCM,high,55,7,6,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,low,50,10,6,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,thm4_in_avg,THM4,high,55,7,6,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,low,50,10,6,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,dbcm_in_avg,DBCM,high,55,7,6,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,low,50,10,6,21.773000000000003,2.326655872925862,0.33731154294094007,0.45806269065645216
C,Dataset1 formal 6-feature + Cl2,xgb,XGBoost,bdcm_in_avg,BDCM,high,55,7,6,20.283090909090905,3.6842617596751612,2.200691992976226,1.499827966325281
