run,run_label,model,model_label,target,target_label,group,method,feature,feature_label,importance_mean,importance_std,rank,n_rows,n_tsids
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,shap,toc_in_avg,TOC,63.48398668293141,0.0,1,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,shap,uv_in_avg,UV254,22.178912713741784,0.0,2,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,shap,br_in_avg,Bromide,18.38665558877386,0.0,3,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,shap,temp_in_avg,Temperature,5.619564978190026,0.0,4,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,shap,ph_in_avg,pH,2.6632451738567817,0.0,5,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,permutation,toc_in_avg,TOC,112.73207493042382,21.8794275135765,1,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,permutation,br_in_avg,Bromide,32.35261063418396,10.606148091568853,2,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,permutation,uv_in_avg,UV254,29.928032953506385,4.810914179618594,3,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,permutation,temp_in_avg,Temperature,15.303901523086704,5.250147088330262,4,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,low,permutation,ph_in_avg,pH,-0.5367112401940588,1.5766182348240931,5,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,shap,toc_in_avg,TOC,22.72354810416373,0.0,1,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,shap,br_in_avg,Bromide,18.80984928796226,0.0,2,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,shap,uv_in_avg,UV254,14.371227516355315,0.0,3,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,shap,temp_in_avg,Temperature,6.372034271487257,0.0,4,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,shap,ph_in_avg,pH,2.707619435409262,0.0,5,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,permutation,ph_in_avg,pH,2.6499823951136294,1.1666755891553098,1,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,permutation,uv_in_avg,UV254,0.19758282156744436,1.5846029904557943,2,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,permutation,toc_in_avg,TOC,-0.19817046430032512,2.8050357457140263,3,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,permutation,temp_in_avg,Temperature,-2.5722950926553216,1.1124606629503615,4,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,thm4_in_avg,THM4,high,permutation,br_in_avg,Bromide,-7.11215289867215,2.379166004229064,5,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,br_in_avg,Bromide,7.807422409369138,0.0,1,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,ph_in_avg,pH,2.664777055925397,0.0,2,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,uv_in_avg,UV254,2.476030784124963,0.0,3,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,toc_in_avg,TOC,1.2847792013505686,0.0,4,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,shap,temp_in_avg,Temperature,1.1349489582681094,0.0,5,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,br_in_avg,Bromide,9.44283741369146,0.8571468817089213,1,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,uv_in_avg,UV254,3.0824925408276393,0.6031621387844922,2,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,toc_in_avg,TOC,1.4696206623291808,0.3456918670254497,3,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,temp_in_avg,Temperature,0.894638257698964,0.18798881068542406,4,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,low,permutation,ph_in_avg,pH,0.7787773713531085,0.49127685577870905,5,50,10
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,br_in_avg,Bromide,7.937310276172554,0.0,1,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,ph_in_avg,pH,2.2818500213500683,0.0,2,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,temp_in_avg,Temperature,1.7394714542296887,0.0,3,55,7
B,Dataset1 formal 5-feature,rf,Random Forest,dbcm_in_avg,DBCM,high,shap,uv_in_avg,UV254,1.4142343627479612,0.0,4,55,7
