rank,target,target_label,model,model_label,pair_type,feature_a,feature_a_label,feature_b,feature_b_label,mean_abs_interaction,mean_signed_interaction,test_rows,run_dir
1,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,br_in_avg,Bromide,cl2d_in_avg,Cl2 dose,0.07353655963166525,0.04243640138755269,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
2,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,br_in_avg,Bromide,0.04011844207923648,0.022025561266993503,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
3,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,br_in_avg,Bromide,0.03077634633602463,-0.0022741759661235803,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
4,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,cl2d_in_avg,Cl2 dose,0.023123244159213317,-0.005680925752128864,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
5,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,cl2d_in_avg,Cl2 dose,0.02039882550622369,0.011394280332446827,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
6,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,br_in_avg,Bromide,time_sds_avg,Contact time,0.01584276713306427,-0.0004303017318881716,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
7,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,cl2d_in_avg,Cl2 dose,time_sds_avg,Contact time,0.010809438337423791,-0.0023896208554728374,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
8,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,ph_in_avg,pH,br_in_avg,Bromide,0.009989170882551938,-0.0023293850913891365,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
9,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,uv_in_avg,UV254,toc_in_avg,TOC,0.00938795008933678,-0.005404430107737602,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
10,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,toc_in_avg,TOC,time_sds_avg,Contact time,0.008267670425344468,0.003490467500155046,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
11,bdcm_in_avg,BDCM,rf,Random Forest,pairwise_interaction,temp_in_avg,Temperature,br_in_avg,Bromide,0.007289858066101682,0.00122910165151919,106,/Users/xjzou/Desktop/DBPs-prediction-by-kan-main/checkpoints/formal_dataset1_7feat_cl2d_contact_time_bdcm_avg/20260331T214748Z
